ID,Date/Time,Total Play Time,Total # moves,#galleries,self avoidance,#clusters,exp efficiency,scav efficiency,median exp steps,median scav steps,max dt,robust_median_exploit_pace,robust_threshold_exploit_pace,Average Speed,% galleries in exp,% time in exp,efficiency ratio,exp speed,scav speed,Step Orig,% steps uniquely covered,Gallery Orig,Gallery Orig exp,Gallery Orig scav,% galleries uniquely covered,% galleries uniquely covered exp,% galleries uniquely covered scav,# clusters in GC,% clusters in GC,Step Orig (sample),% steps uniquely covered (sample),Gallery Orig (sample),Gallery Orig exp (sample),Gallery Orig scav (sample),% galleries uniquely covered (sample),% galleries uniquely covered exp (sample),% galleries uniquely covered scav (sample),# clusters in GC (sample),% clusters in GC (sample)
FdwMSA,2026-01-05T17:16:46.287000,719.007,209,13,0.9710144927536232,2,0.25925925925925924,0.3484848484848485,44,53.5,18.496999999999986,,,0.2906786721130671,0.076923077,0.48518303716097333,0.7439613526570047,0.29238927905976786,0.2890665312286408,4.41095635,0.7378640776699029,3.9903301031268654,3.497982164751721,4.031359097991461,0.3846153846153846,0,0.41666666666666663,1,0.5,4.222812917491138,0.8932038834951457,3.9423759058962253,3.7332574681168875,3.959802442377837,0.3846153846153846,0,0.41666666666666663,1,0.5
ECuaTV,2025-12-04T17:44:27.473000,695.428,162,30,0.9371069182389937,4,0.6666666666666666,0.9,8,24,35.668000000000006,,,0.2329500681594644,0.16666666666666666,0.44995887424722614,0.7407407407407407,0.21092057242565052,0.25097120628264585,4.234653938,0.5641025641025641,3.9777541571071486,3.4728446740291212,4.0787360537227535,0.3571428571428571,0,0.41666666666666663,2,0.5,4.175356955852702,0.7435897435897436,3.949091316709599,3.6298946371168888,4.012930653,0.4642857142857143,0,0.5416666666666667,0,0
957H63,2026-01-08T11:21:05.141000,719.85,240,24,0.9205607476635514,5,0.4,0.42857142857142855,16.5,14,19.814999999999998,,,0.3334027922483851,0.125,0.4911162047648816,0.9333333333333335,0.35923401125788473,0.30847346582223195,4.258746055004425,0.5283018867924528,3.472402100282036,3.1989352799254736,3.5114687889044025,0.083333333,0,0.095238095,4,0.8,4.175456360591789,0.7358490566037736,3.639287349601689,3.508708410079654,3.657941483819122,0.16666666666666663,0,0.19047619047619047,2,0.4
EqkRDu,2025-12-28T11:57:53.060000,655.729,208,78,0.8557213930348259,14,1,1,4,7,23.795999999999992,,,0.3172042108858995,0.11538461538461539,0.4777659673432166,1,0.23620664889796825,0.39130485568443313,3.986009697250631,0.27979274611398963,3.339496130590974,3.3330019614855004,3.3403431961264713,0.015625,0,0.016666667,13,0.9285714285714286,4.087752244997331,0.538860104,3.5974130128334436,3.6052945059253028,3.5963849919953734,0.140625,0.125,0.1333333333333333,9,0.6428571428571429
JWFJdD,2024-12-05T12:14:42.983000,718.889,280,65,0.9507575757575758,10,0.5714285714285714,0.6666666666666666,5,8,11.016999999999996,,,0.38948989343278306,0.1076923076923077,0.4137203379103036,0.8571428571428571,0.3496750375732549,0.4175860678102833,4.364853457411876,0.6958174904942966,4.138242926465866,4.326391512425104,4.115535338505268,0.4098360655737705,0.5714285714285714,0.38181818181818183,5,0.5,4.212564524575195,0.8403041825095057,3.9825836003391983,4.104542609032572,3.9678644096348252,0.5245901639344263,0.7142857142857143,0.49090909090909096,3,0.3
8ZapMM,2025-12-10T20:18:30.447000,716.602,233,41,0.9419642857142857,6,0.4494949494949495,0.6666666666666666,11,16,15.028000000000002,,,0.32514561779062856,0.14634146341463414,0.4433423294939173,0.6742424242424243,0.3179099779666351,0.33090834340264036,4.159565207188117,0.42081448,3.636787885425232,3.033714907953076,3.7401718244204583,0.125,0,0.1470588235294118,4,0.6666666666666666,4.134571873,0.6289592760180995,3.803784599258805,3.492497008,3.8571481863261323,0.17500000000000004,0,0.20588235294117652,2,0.3333333333333333
Zg3xvI,2025-01-09T11:46:16.461000,719.773,270,64,0.8969465648854962,10,0.5,0.75,11,13,55.89599999999999,,,0.3751182664534513,0.1875,0.5565685292446367,0.6666666666666666,0.334495748,0.42610521038944743,4.101369617439974,0.40384615384615385,3.5564859559195234,3.3275665512189057,3.609313510850435,0.11111111111111116,0.090909091,0.11538461538461542,8,0.8,4.1217646681770885,0.6,3.7559706718106085,3.483483309787069,3.8188523707391164,0.2698412698412699,0.18181818181818177,0.28846153846153844,5,0.5
e2yCyw,2025-12-07T16:13:34.568000,718.58,242,70,0.9788135593220338,12,0.5833333333333333,1,6,9.5,13.147999999999996,,,0.3367753068551866,0.12857142857142856,0.46181496840991954,0.5833333333333333,0.29531325805858655,0.37235376710823337,4.407695038505147,0.7264957264957265,4.123064297778313,3.5147728826447437,4.212812211486547,0.2941176470588235,0,0.33333333333333337,4,0.3333333333333333,4.218707032795252,0.8717948717948718,4.0808875694887945,3.730877022120305,4.132528469920208,0.5294117647058824,0.33333333333333337,0.55,1,0.083333333
B6ju5z,2024-12-12T13:04:59.042000,718.446,162,34,0.9620253164556962,7,0.4857142857142857,0.6666666666666666,9,10,14.087999999999994,,,0.22548667540775505,0.17647058823529413,0.5532928014074824,0.7285714285714286,0.20125229238939296,0.25550345085453446,4.327745066860223,0.5923566878980892,3.881715802714036,3.854694585439985,3.887506063558476,0.11764705882352944,0.16666666666666663,0.1071428571428571,4,0.5714285714285714,4.201937713475392,0.7834394904458599,3.991214229494297,3.987553749339528,3.9919986180988913,0.2647058823529411,0.33333333333333337,0.25,2,0.2857142857142857
p3juAg,2024-12-26T09:29:35.982000,719.781,245,90,0.9282700421940928,13,1,1,5,9,25.29600000000005,,,0.3403813104263658,0.15555555555555556,0.5379052795225217,1,0.3228522576412672,0.360786153,4.175365978805719,0.44680851063829785,3.6471094113145646,3.696696934507364,3.637974867568522,0.19277108433734935,0.1428571428571429,0.19444444444444442,8,0.6153846153846154,4.136139644638853,0.6212765957446809,3.772003389068606,3.756779408558406,3.7748078065310118,0.32530120481927716,0.3571428571428571,0.3055555555555556,6,0.46153846153846156
fKsxuz,2025-01-20T09:06:41.559000,704.341,183,49,0.8192090395480226,9,0.8571428571428571,1,9,8,15.038000000000011,,,0.259817333,0.1836734693877551,0.590921159,0.8571428571428571,0.24266596189423606,0.284592772,4.079256098778973,0.3505747126436781,3.478142866481526,3.241163292070278,3.531463270724057,0.13636363636363635,0.11111111111111116,0.1282051282051282,8,0.8888888888888888,4.110461006472221,0.5574712643678161,3.6845529208262877,3.5199914062474256,3.7215792616065313,0.2727272727272727,0.11111111111111116,0.28205128205128205,7,0.7777777777777778
000001,2024-07-06T21:45:54.782000,719.202,293,41,0.915129151,8,0.5208333333333333,0.5,15,15.5,8.132000000000001,,,0.40739597498338437,0.1951219512195122,0.5780698607623448,1.0416666666666665,0.39446877803674824,0.4251070182202844,4.1610273222946885,0.44402985074626866,3.3581061700930106,3.2982743965707177,3.372610842462052,0.076923077,0.125,0.060606061,6,0.75,4.147037324183514,0.667910448,3.6434259468691983,3.579527013990931,3.658916597,0.15384615384615385,0.125,0.1515151515151515,4,0.5
6m9vuK,2025-12-19T15:52:58.312000,719.215,178,23,0.9534883720930233,3,0.5833333333333333,0.5833333333333333,35,9,65.13499999999999,,,0.24749205731248652,0.5217391304347826,0.7878200538086663,1,0.25590704044390167,0.2162473870107402,4.208135270677524,0.5146198830409356,3.312162026137273,3.4374400725862184,3.175495066374789,0.043478261,0,0.090909091,3,1,4.130154814,0.6374269005847953,3.6246137619607786,3.732578261497427,3.506834307920798,0.17391304347826086,0.25,0.090909091,3,1
65FZVx,2025-01-20T12:48:37.253000,717.44,291,25,0.85,5,0.2916666666666667,0.6190476190476191,35,21,46.15100000000007,,,0.4056088314005352,0.28,0.713258252,0.47115384615384615,0.3849761588368639,0.4569317518957805,4.144277197645211,0.42181818181818187,3.1406469384499296,2.717364763429674,3.305256673180028,0,0,0,4,0.8,4.131960965917678,0.6436363636363636,3.4751338280175528,3.0947045897388565,3.6230785317926006,0.125,0,0.16666666666666663,2,0.4
jUleiG,2025-01-02T12:13:59.382000,713.062,267,12,0.8888888888888888,2,0.3181818181818182,0.2,58,40,18.14500000000004,,,0.37444149316609215,0.4166666666666667,0.655115544,1.5909090909090908,0.40030997264191737,0.32530375237878373,4.30254794,0.6095617529880478,3.9083986848141428,3.534704627169134,4.175323011703435,0.25,0,0.4285714285714286,1,0.5,4.2017498934340365,0.796812749,3.975496252000561,3.8509966740708834,4.064424521950331,0.33333333333333337,0.19999999999999996,0.4285714285714286,0,0
 bDx2rX,2026-01-21T16:36:01.780000,719.386,218,54,0.8994708994708994,11,0.6333333333333333,0.6666666666666666,8,11,13.976999999999975,,,0.30303620031526884,0.14814814814814814,0.5276402376471047,0.95,0.2845272500704732,0.32371126132621564,4.3562217886738805,0.6382978723404256,3.9278619233440284,3.7242797294150614,3.9632675222881972,0.2857142857142857,0.125,0.30952380952380953,5,0.45454545454545453,4.201618824303808,0.8031914893617021,3.929282551565296,3.823256187807715,3.9477219191753097,0.36734693877551017,0.125,0.40476190476190477,3,0.2727272727272727
7oW98a,2024-12-05T12:52:35.407000,718.892,349,44,0.8821752265861027,10,0.38888888888888884,0.4222222222222222,15,18,14.649999999999977,,,0.485469306,0.13636363636363635,0.4958700333290676,0.9210526315789472,0.49091526241524686,0.48011257812176655,4.366961882358291,0.6371951219512195,4.275744190800371,3.591537045233751,4.383776898,0.38636363636363635,0,0.4473684210526315,1,0.1,4.2049513092961615,0.7987804878048781,4.135250720403811,3.7872014160131413,4.190205873728653,0.5681818181818181,0.16666666666666663,0.631578947,0,0
V25QLT4f,2025-01-13T12:46:19.130000,713.963,214,29,0.8647342995169082,5,0.625,0.4722222222222222,14,17,20.086000000000013,,,0.2997354204629652,0.2413793103448276,0.5223309891408938,1.3235294117647058,0.2761949453643494,0.32547692632492564,4.165998441962418,0.40594059405940597,3.392142920720269,3.142350486033275,3.4716223317570396,0.1071428571428571,0,0.1428571428571429,3,0.6,4.129671786974376,0.599009901,3.583722294540891,3.443274291511993,3.628410295504631,0.1785714285714286,0.1428571428571429,0.19047619047619047,2,0.4
mkbvhj,2025-12-24T14:46:21.042000,718.9,152,48,0.9782608695652174,8,0.6666666666666666,1,5,6.5,15.391999999999996,,,0.21143413548476842,0.2708333333333333,0.6092043399638335,0.6666666666666666,0.21006628504624889,0.21356645298156557,4.253390229206903,0.5620437956204379,3.841585589203616,3.628314063012307,3.920800727503244,0.27083333333333337,0.15384615384615385,0.3142857142857143,5,0.625,4.197211218934558,0.8175182481751825,3.9037491395652286,3.8170122689098736,3.9359656915229313,0.45833333333333337,0.3076923076923077,0.5142857142857142,1,0.125
d,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,
uNzthJ,2024-12-17T20:11:41.061000,718.029,290,36,0.9496402877697842,7,0.6333333333333333,0.5,22.5,15,16.451000000000008,,,0.4038834086088445,0.2222222222222222,0.6839863013889411,1.2666666666666666,0.40315848200650756,0.40545245408912023,4.299885222182802,0.5776173285198556,3.423065351671782,3.6158962592186645,3.3679708066583864,0.055555556,0.25,0,4,0.5714285714285714,4.183186167,0.7400722021660651,3.632222978,3.771599957498552,3.5924009834678565,0.19444444444444442,0.375,0.1428571428571429,3,0.42857142857142855
ZCOnQ5,2024-12-30T12:21:21.422000,719.588,294,23,0.8538461538461538,3,0.3333333333333333,0.5,47,29,12.222999999999999,,,0.4085671245212538,0.391304348,0.7331153382213155,0.6666666666666666,0.40376008689372017,0.42177175378943704,4.295533787208753,0.5581395348837209,3.6406384176618793,3.5572824547669004,3.694224393808652,0.086956522,0,0.1428571428571429,3,1,4.200001441830839,0.7751937984496124,3.8813692544906977,3.9217514813133882,3.8554092515332536,0.21739130434782605,0.11111111111111116,0.2857142857142857,1,0.3333333333333333
bvj9dk,2025-12-08T20:38:22.289000,675.147,153,37,0.9133333333333333,5,0.5,0.75,8.5,24,54.44,,,0.22661731445151942,0.081081081,0.39366834185740285,0.6666666666666666,0.1768353249255034,0.25893888797961706,4.199344992,0.4832214765100671,3.6411972347400994,3.596477178580612,3.645143122048289,0.19999999999999996,0,0.21875,4,0.8,4.151252317143016,0.6174496644295302,3.7165304908494776,3.7255495351678416,3.715734692821388,0.37142857142857144,0.33333333333333337,0.375,2,0.4
fzgsNA,2025-11-25T09:42:33.823000,719.861,401,18,0.9119170984455959,2,0.1842818428184282,0.2403846153846154,53,92.5,8.306,,,0.5570519864251571,0.2222222222222222,0.5337877729172716,0.7666124661246613,0.5621296385454374,0.5512383495029917,4.406373147630107,0.6987012987012987,4.133787212,4.263874139054175,4.096619518814094,0.2222222222222222,0.5,0.1428571428571429,0,0,4.226656256320614,0.8753246753246753,4.081827068456241,4.116552143596925,4.071905618416046,0.5,0.5,0.5,0,0
