ID,Date/Time,Total Play Time,Total # moves,#galleries,self avoidance,#clusters,exp efficiency,scav efficiency,median exp steps,median scav steps,max dt,robust_median_exploit_pace,robust_threshold_exploit_pace,Average Speed,% galleries in exp,% time in exp,efficiency ratio,exp speed,scav speed,Step Orig,% steps uniquely covered,Gallery Orig,Gallery Orig exp,Gallery Orig scav,% galleries uniquely covered,% galleries uniquely covered exp,% galleries uniquely covered scav,# clusters in GC,% clusters in GC,Step Orig (sample),% steps uniquely covered (sample),Gallery Orig (sample),Gallery Orig exp (sample),Gallery Orig scav (sample),% galleries uniquely covered (sample),% galleries uniquely covered exp (sample),% galleries uniquely covered scav (sample),# clusters in GC (sample),% clusters in GC (sample)
ChXIQE,2024-11-25T15:20:31.344000,717.523,150,46,0.9701492537313433,8,1,0.75,6,9.5,25.107,,,0.20905253211395314,0.065217391,0.44311610917001976,1.3333333333333333,0.18242091424329912,0.23024348248272553,4.134692735460459,0.443609023,3.500508140774354,3.009351720698343,3.534774867756401,0.090909091,0,0.095238095,6,0.75,4.126767577611407,0.6541353383458647,3.714321386419283,3.4798382953798264,3.730680671840642,0.18181818181818177,0,0.19047619047619047,4,0.5
V3EJt8,2025-12-18T16:43:29.572000,717.533,261,71,0.9215686274509803,12,1,0.8333333333333334,9,8.5,14.472000000000037,,,0.36374633640543363,0.19718309859154928,0.5859465697048081,1.2,0.3496370434501327,0.38371306341026673,4.239524097209688,0.4980237154150198,3.6787752267983147,3.604121902914934,3.6971111309100224,0.12857142857142856,0.071428571,0.1428571428571429,7,0.5833333333333334,4.166092153,0.7035573122529644,3.827084137998599,3.8151919483600927,3.8300050266817407,0.2857142857142857,0.2857142857142857,0.2857142857142857,5,0.4166666666666667
TEST2,2024-10-13T18:31:55.391000,719.682,223,50,0.9447004608294931,9,1,0.75,9,14,78.00399999999996,,,0.30985907664774165,0.1,0.5256502177350554,1.3333333333333333,0.2431925900275177,0.38373547444058115,4.311010507257624,0.6157407407407407,3.800771221167318,3.9867379925360047,3.780108246570798,0.18367346938775508,0.19999999999999996,0.18181818181818177,5,0.5555555555555556,4.1794231456912465,0.7731481481481481,3.850464672553481,4.016273346085319,3.8320414866054975,0.40816326530612246,0.19999999999999996,0.43181818181818177,3,0.3333333333333333
ekwUtx,2025-12-02T11:34:14.407000,717.173,205,28,0.8578680203045685,5,0.45,0.5,14.5,18,22.601,,,0.2858445591231126,0.071428571,0.47508899526334625,0.9,0.26708069065305645,0.3028274521054476,4.171608015594444,0.44329896907216493,3.541877719597712,4.263229783332222,3.4863890993104425,0.18518518518518523,0.5,0.16000000000000003,4,0.8,4.120312885606053,0.6185567010309279,3.6884844249438378,4.136347455108831,3.654033422623453,0.2962962962962963,0.5,0.28,3,0.6
2BRp8e,2025-12-29T09:51:50.910000,717.479,253,51,0.8833333333333333,8,0.775,1,11,12,13.632999999999996,,,0.35262356110771187,0.23529411764705882,0.5371697290094904,0.775,0.3139530056459646,0.39750535277094373,4.1230567605690265,0.379746835,3.3049979205190465,3.5610529886039832,3.2262117457236803,0.0625,0.16666666666666663,0.026315789,8,1,4.116039583505173,0.5907172995780591,3.5989423833028824,3.7728652011847044,3.545427670108477,0.10416666666666663,0.25,0.052631578947368474,5,0.625
EVhG6aHF,2025-01-13T15:19:36.888000,715.383,268,40,0.8846153846153846,7,0.75,0.5277777777777778,19.5,21,9.848000000000013,,,0.37462450184027296,0.1,0.46267803400416296,1.4210526315789473,0.3625465268042731,0.3850246233652714,4.1353086456272266,0.39534883720930236,3.312218297,3.354734255914993,3.307494301417579,0.10256410256410253,0.25,0.085714286,6,0.8571428571428571,4.135368889615822,0.6124031007751938,3.5431051045135598,3.5009027366883143,3.547794256494143,0.17948717948717952,0.25,0.17142857142857137,5,0.7142857142857143
zwWAyy,2024-11-26T09:46:50.023000,718.556,297,28,0.9448275862068966,5,0.4642857142857143,0.3875,35.5,13,20.53200000000004,,,0.4133289541803283,0.35714285714285715,0.6476461124811427,1.1981566820276497,0.4061284569267465,0.42656387004020746,4.370124027092122,0.6805555555555556,3.8854588232234355,4.109662091882109,3.760901451746394,0.25,0.4,0.16666666666666663,2,0.4,4.208335423322684,0.8333333333333334,3.9072427451535523,3.993404528670653,3.8593750876440516,0.3571428571428571,0.5,0.2777777777777778,1,0.2
3XeA64,2024-12-23T11:54:04.860000,717.731,311,44,0.7625418060200669,8,0.5833333333333333,0.6666666666666666,13,13,17.30600000000004,,,0.433309973,0.13636363636363635,0.5527878829254972,0.8749999999999999,0.42595771172492713,0.4423979213528653,4.034250954,0.2978723404255319,3.3339890687827634,3.221441622716464,3.3517597181616527,0.046511627906976716,0,0.052631578947368474,8,1,4.072288120407449,0.46099290780141844,3.552954372117226,3.4959415405980017,3.5619563981465787,0.023255813953488413,0,0.026315789,6,0.75
WdtMYH,2026-01-21T16:54:40.099000,719.486,235,32,0.875,6,0.4,0.6333333333333333,13,15,49.06600000000003,,,0.3266220607489235,0.21875,0.6348782325159904,0.6315789473684211,0.28897558156335795,0.3920822230681384,4.150289832493785,0.4200913242009132,3.2610312575950977,3.1082826766267293,3.303800860266241,0,0,0,6,1,4.108099271939341,0.5707762557077626,3.5101558393790753,3.5230155748008474,3.506555113460979,0.125,0.1428571428571429,0.12,4,0.6666666666666666
YAfvZQ,2025-12-04T16:36:14.196000,719.819,358,99,0.8764705882352941,17,0.8,1,8,12,8.379000000000005,,,0.4973472497947401,0.15151515151515152,0.5041267318589813,0.8,0.46571869488536155,0.5295022398785227,4.125785885555499,0.3887240356083086,3.6831459024314293,3.4627929542696396,3.7224946431746067,0.1473684210526316,0.23076923076923073,0.13414634146341464,12,0.7058823529411765,4.143843864273699,0.6320474777448071,3.8356089920385794,3.65303886,3.868210801416489,0.27368421052631575,0.23076923076923073,0.2804878048780488,4,0.23529411764705882
