StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ICAR_ln1,ICAR_mx2,ICAR_vr1,ICAR_mx3,ICAR_vr2,ICAR_r3d1,ICAR_r3d2,ICAR_vr3,ICAR_r3d3,ICAR_ln3,ICAR_r3d4,ICAR_vr4,ICAR_mx4,ICAR_ln2,ICAR_ln4,ICAR_mx1,SC0,shahar_id
21/11/2024 12:20,21/11/2024 12:29,0,192.114.23.238,100,554,1,21/11/2024 12:29,R_8IAiReCcTz8kVar,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,9,RkzwMO
21/11/2024 14:32,21/11/2024 14:57,0,176.13.136.170,100,1461,1,21/11/2024 14:57,R_49zdv4qMR1VgyIN,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,10,4zw0DO
21/11/2024 19:45,21/11/2024 20:33,0,79.177.143.204,100,2866,1,21/11/2024 20:33,R_48zZ7aUL3WwkmEF,,,,,32.0803,34.7805,anonymous,HE,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,11,olpEYy
22/11/2024 10:45,22/11/2024 11:10,0,93.173.46.162,100,1495,1,22/11/2024 11:10,R_4LkeLPPEvYYX7d7,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,15,WF2zDd
22/11/2024 11:12,22/11/2024 11:21,0,147.236.165.19,100,521,1,22/11/2024 11:21,R_8CHMdaqvmhtcyac,,,,,32.8082,35.4872,anonymous,HE,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,10,cL5U0l
22/11/2024 18:46,22/11/2024 19:03,0,5.29.10.56,100,1031,1,22/11/2024 19:03,R_2kfdBJBEQrHmO0F,,,,,32.0803,34.7805,anonymous,HE,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,11,AVQAV3
24/11/2024 11:01,24/11/2024 11:09,0,149.106.148.79,100,498,1,24/11/2024 11:09,R_4iUVdYyKRRXUuby,,,,,31.7787,35.1595,anonymous,HE,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,9,4KxP86
24/11/2024 11:49,24/11/2024 11:55,0,192.114.23.237,100,359,1,24/11/2024 11:55,R_21mSI25fpsP7Eb8,,,,,32.0803,34.7805,anonymous,HE,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,10,QElY1e
24/11/2024 14:45,24/11/2024 14:50,0,212.199.36.150,100,318,1,24/11/2024 14:50,R_4q39NDAJIJcuifW,,,,,32.3348,34.8596,anonymous,HE,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,6,1TF3H9
24/11/2024 17:20,24/11/2024 17:36,0,77.137.67.99,100,1015,1,24/11/2024 17:36,R_2FxCxz4ASR1lTRk,,,,,32.0803,34.7805,anonymous,HE,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,10,tBKJyj
24/11/2024 19:37,24/11/2024 20:00,0,176.230.238.93,100,1342,1,24/11/2024 20:00,R_4jZxPktLRqX4rcJ,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,11,R7IOSD
24/11/2024 20:59,24/11/2024 21:05,0,85.65.208.187,100,341,1,24/11/2024 21:05,R_4cSG2jYzMxZFiut,,,,,31.9995,34.9482,anonymous,HE,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,6,aWb5B4
26/11/2024 7:54,26/11/2024 8:18,0,77.126.50.199,100,1448,1,26/11/2024 8:18,R_4PV56Vl9kZ0yLRL,,,,,32.0717,34.8307,anonymous,HE,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,5,DYOJyZ
27/11/2024 13:31,27/11/2024 13:55,0,176.12.176.204,100,1461,1,27/11/2024 13:55,R_4tKHd2q3GJVCFhp,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,4fIbID
20/11/2024 14:41,20/11/2024 14:41,0,77.124.39.125,6,8,0,27/11/2024 14:42,R_42JV00vfoWzXXSb,,,,,,,anonymous,HE,,,,,,,,,,,,,,,,,0,YW513B
27/11/2024 16:02,27/11/2024 16:14,0,87.70.1.41,100,759,1,27/11/2024 16:14,R_4fn6VRq2D1AknNn,,,,,32.0803,34.7805,anonymous,HE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,OuDg2s
27/11/2024 16:31,27/11/2024 16:54,0,87.70.210.250,100,1377,1,27/11/2024 16:54,R_4tMDqGCw71tbeDY,,,,,32.0717,34.8307,anonymous,HE,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,13,uNzthJ
27/11/2024 17:31,27/11/2024 18:45,0,176.228.123.126,100,4398,1,27/11/2024 18:45,R_49q28sDPoT0GjAZ,,,,,32.1693,34.882,anonymous,HE,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,7,5FdTAz
28/11/2024 0:25,28/11/2024 0:47,0,93.172.168.117,100,1314,1,28/11/2024 0:47,R_4GqQdR5A98Z6Ybn,,,,,32.0803,34.7805,anonymous,HE,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,11,7oW98a
28/11/2024 9:21,28/11/2024 10:38,0,192.114.23.233,100,4637,1,28/11/2024 10:38,R_2CxK3VKQYSNPsXv,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,11,zwWAyy
29/11/2024 17:32,29/11/2024 18:05,0,5.29.13.119,100,1987,1,29/11/2024 18:05,R_8iCHdy2yPxfiuhd,,,,,32.0123,34.7705,anonymous,HE,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,13,BHj9rH
29/11/2024 19:08,29/11/2024 19:23,0,46.120.86.66,100,889,1,29/11/2024 19:23,R_4Etnr2K0rgOPDW5,,,,,32.0729,34.8481,anonymous,HE,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,11,B1RRkw
02/12/2024 15:01,02/12/2024 15:02,0,192.114.23.230,100,55,1,02/12/2024 15:02,R_2YJjzgjTfiIdT4J,,,,,32.0803,34.7805,anonymous,HE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,DkcybF
02/12/2024 15:42,02/12/2024 16:04,0,93.173.123.121,100,1306,1,02/12/2024 16:04,R_4w185izr7Dr3Hdj,,,,,32.0803,34.7805,anonymous,HE,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,9,GR6pWI
02/12/2024 16:36,02/12/2024 16:44,0,176.13.130.111,100,460,1,02/12/2024 16:44,R_4DNbcfN5uzXN6Yi,,,,,32.0717,34.8307,anonymous,HE,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,9,9CHQKL
02/12/2024 22:25,02/12/2024 22:37,0,79.177.137.141,100,709,1,02/12/2024 22:37,R_8SHSvhP320rdMqZ,,,,,32.0803,34.7805,anonymous,HE,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,6,JWFJdD
03/12/2024 10:45,03/12/2024 11:01,0,2.54.139.214,100,949,1,03/12/2024 11:01,R_4wAXkL0iIAruclb,,,,,32.1693,34.882,anonymous,HE,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,14,Nv34Od
03/12/2024 11:41,03/12/2024 12:00,0,192.114.23.237,100,1126,1,03/12/2024 12:00,R_80X6enMeYemZNkZ,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,14,mYI3W1
03/12/2024 21:14,03/12/2024 21:22,0,188.64.206.251,100,501,1,03/12/2024 21:22,R_2M0bNZNXudrj5xF,,,,,32.0803,34.7805,anonymous,HE,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,7,WoB3UG
04/12/2024 14:59,04/12/2024 15:57,0,46.19.85.119,100,3448,1,04/12/2024 15:57,R_2SWPtECRhZxx25H,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,13,uhLE7P
04/12/2024 18:30,04/12/2024 18:48,0,207.232.50.229,100,1084,1,04/12/2024 18:48,R_48Znf1QKkyZcMM1,,,,,32.2293,34.8192,anonymous,HE,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,9,QPKs1S
05/12/2024 15:00,05/12/2024 15:21,0,147.235.205.112,100,1258,1,05/12/2024 15:21,R_2UXaUbngULbXm20,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,8,EDEWtP
29/11/2024 18:05,29/11/2024 18:06,0,5.29.13.119,18,21,0,06/12/2024 18:06,R_2Tw0CVcGl9oBu2u,,,,,,,anonymous,HE,,,,,0,,,,,,,1,,,,,1,BHj9rH
08/12/2024 18:47,08/12/2024 19:03,0,2.54.148.1,100,925,1,08/12/2024 19:03,R_4eCBTqsgQeR9SLf,,,,,32.1033,34.8879,anonymous,HE,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,8,EG8LWj
02/12/2024 15:43,02/12/2024 15:43,0,176.13.139.243,6,3,0,09/12/2024 15:43,R_4oyV7Z0jCJjWiae,,,,,,,anonymous,HE,,,,,,,,,,,,,,,,,0,GR6pWI
10/12/2024 23:19,10/12/2024 23:37,0,172.225.187.0,100,1066,1,10/12/2024 23:37,R_8lzfc6BXoz8yaaA,,,,,32.0803,34.7805,anonymous,HE,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,7,UL2058
11/12/2024 19:47,11/12/2024 19:52,0,2.54.173.225,100,270,1,11/12/2024 19:52,R_4PHz2dDFCia0dwZ,,,,,32.0803,34.7805,anonymous,HE,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,LtxLUe
05/12/2024 15:21,05/12/2024 15:22,0,147.235.205.112,6,9,0,12/12/2024 15:22,R_8D1PY0eQF59Lxq9,,,,,,,anonymous,HE,,,,,,,,,,,,,,,,,0,EDEWtP
12/12/2024 15:25,12/12/2024 15:41,0,2.54.57.53,100,960,1,12/12/2024 15:41,R_4gCJnyLbqjETtL2,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,8,RaX3YH
12/12/2024 16:08,12/12/2024 16:20,0,46.19.86.157,100,700,1,12/12/2024 16:20,R_2kFy41V94YMLRSx,,,,,32.0803,34.7805,anonymous,HE,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,8,kUPjH0
13/12/2024 14:08,13/12/2024 14:23,0,2.54.186.72,100,872,1,13/12/2024 14:23,R_417jDV2WSmcVfjd,,,,,32.0803,34.7805,anonymous,HE,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,9,1e3j8l
13/12/2024 19:17,13/12/2024 19:52,0,147.235.214.205,100,2098,1,13/12/2024 19:52,R_2PueqUJU5Cf7xJq,,,,,32.7012,35.293,anonymous,HE,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,10,52MCE2
14/12/2024 10:13,14/12/2024 10:30,0,46.19.86.116,100,1047,1,14/12/2024 10:30,R_8JxcRLHCUuzY9Vp,,,,,32.1033,34.8879,anonymous,HE,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,12,3XeA64
16/12/2024 13:34,16/12/2024 13:42,0,2.54.173.130,100,509,1,16/12/2024 13:42,R_8iyZU6MlgMSSxIu,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,9,obHWs2
18/12/2024 15:56,18/12/2024 15:57,0,77.137.67.228,100,49,1,18/12/2024 15:57,R_4dFlbTJLKxBQUpB,,,,,32.0803,34.7805,anonymous,HE,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,XoUYK5
18/12/2024 17:26,18/12/2024 17:41,0,81.199.239.103,100,892,1,18/12/2024 17:41,R_8TyuqlsEcHvGngl,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,10,p3juAg
12/12/2024 15:55,12/12/2024 15:55,0,2.54.57.53,6,6,0,19/12/2024 15:55,R_4zNmPAuTd75bES5,,,,,,,anonymous,HE,,,,,,,,,,,,,,,,,0,RaX3YH
12/12/2024 16:08,12/12/2024 16:08,0,46.19.86.157,6,2,0,19/12/2024 16:08,R_21iWo5kkvnfBEAm,,,,,,,anonymous,HE,,,,,,,,,,,,,,,,,0,kUPjH0
19/12/2024 17:20,19/12/2024 17:33,0,77.137.73.11,100,764,1,19/12/2024 17:33,R_4BhYMbMGi27B5g6,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,7,46fj84
22/12/2024 16:31,22/12/2024 17:03,0,176.13.131.54,100,1908,1,22/12/2024 17:03,R_41YES2tBT1yqdKS,,,,,32.1033,34.8879,anonymous,HE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,cL5U0l
23/12/2024 0:50,23/12/2024 1:02,0,147.235.196.125,100,720,1,23/12/2024 1:02,R_8uqdXO3QhIaOY6R,,,,,32.0803,34.7805,anonymous,HE,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,9,x3BX3H
23/12/2024 12:59,23/12/2024 13:09,0,85.64.203.36,100,654,1,23/12/2024 13:09,R_4B4cLdfzC1sPk53,,,,,32.0803,34.7805,anonymous,HE,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,7,cc4Mur
23/12/2024 18:49,23/12/2024 19:06,0,87.70.163.249,100,1027,1,23/12/2024 19:06,R_4XbAgY0O66zzDTe,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,12,ZCOnQ5
23/12/2024 18:44,23/12/2024 19:07,0,79.177.132.141,100,1397,1,23/12/2024 19:07,R_2PokdKffZnyArxn,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,12,Y7u23q
23/12/2024 23:36,23/12/2024 23:58,0,213.8.193.243,100,1324,1,23/12/2024 23:58,R_4CDITdMK8eDV8iJ,,,,,32.0803,34.7805,anonymous,HE,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,6,lgmeGb
24/12/2024 19:37,24/12/2024 19:59,0,80.246.130.75,100,1297,1,24/12/2024 19:59,R_4ogzjCg3uy9FuRX,,,,,32.1033,34.8879,anonymous,HE,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,6,yrcRhl
24/12/2024 20:39,24/12/2024 21:12,0,2.52.72.37,100,1947,1,24/12/2024 21:12,R_4BeMaWyskYQtSOO,,,,,32.0803,34.7805,anonymous,HE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,Zg3xvI
24/12/2024 23:08,24/12/2024 23:27,0,79.177.134.195,100,1126,1,24/12/2024 23:27,R_2JI5zKWP0lqZAfa,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,12,LA4bjr
25/12/2024 19:55,25/12/2024 20:05,0,176.231.143.20,100,594,1,25/12/2024 20:05,R_4Xp076E7qUJEygm,,,,,32.3075,34.9055,anonymous,HE,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,10,jUleiG
26/12/2024 12:32,26/12/2024 12:42,0,192.114.23.229,100,605,1,26/12/2024 12:42,R_2NK8aFSsjvrozN2,,,,,32.0803,34.7805,anonymous,HE,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,9,NqOPTt
26/12/2024 21:23,26/12/2024 21:45,0,77.137.71.90,100,1366,1,26/12/2024 21:45,R_4GJGucqg7XDu3Ve,,,,,32.1865,34.8726,anonymous,HE,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,15,WekwE9
28/12/2024 15:56,28/12/2024 16:48,0,147.235.213.201,100,3145,1,28/12/2024 16:48,R_29p7x7PJl7I9m7L,,,,,32.7966,35.1668,anonymous,HE,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,11,emzHyS
28/12/2024 22:12,28/12/2024 22:19,0,80.246.130.128,100,445,1,28/12/2024 22:19,R_8GoLSrrdQoNKjK1,,,,,32.0803,34.7805,anonymous,HE,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,fKsxuz
31/12/2024 11:54,31/12/2024 12:54,0,77.127.134.235,100,3574,1,31/12/2024 12:54,R_4iLQnuFCcdPB3cR,,,,,32.0803,34.7805,anonymous,HE,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,13,K1E8m2
